cliente,recencia,frequencia,monetario,total_produtos_comprados,R,F,M,RFM_Score,RFM_Segment,Classe_Score,Classe_Segmento,Acao
Isabella Gomes,56,32,30861.0,78,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Isabella Goncalves,63,42,50460.0,115,4,4,4,12,444,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Isabella Ribeiro,161,18,18921.0,46,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Isabella Santos,145,28,33476.0,81,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Isabella Silva,62,33,21536.0,88,4,2,1,7,421,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Isabelle Barbosa,44,35,28539.0,96,3,2,2,7,322,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Isabelle Castro,156,33,30764.0,82,5,2,2,9,522,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Isabelle Cunha,76,36,33582.0,86,4,3,2,9,432,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Isabelle Pinto,5,39,51081.0,115,1,3,4,8,134,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Isabelle Rocha,80,28,34855.0,75,4,1,2,7,412,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Isabelle Santos,140,34,45175.0,80,5,2,4,11,524,Alto Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Isabelle Souza,6,87,82986.0,202,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Joao Almeida,101,35,41543.0,80,5,2,3,10,523,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Joao Barbosa,101,35,28605.0,83,5,2,2,9,522,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Joao Barros,18,44,43263.0,117,2,4,4,10,244,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Joao Cavalcanti,32,32,31565.0,86,3,2,2,7,322,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Joao Fernandes,24,65,64665.0,183,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Joao Martins,5,33,39290.0,78,1,2,3,6,123,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Joao Ribeiro,1,51,54794.0,121,1,5,4,10,154,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
José Almeida,42,25,14137.0,54,3,1,1,5,311,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
José Alves,5,33,37305.0,91,1,2,3,6,123,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
José Araujo,1,74,87008.0,164,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
José Carvalho,48,47,54167.0,107,3,5,4,12,354,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
José Fernandes,69,36,39567.0,91,4,3,3,10,433,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
José Melo,14,36,33963.0,92,2,3,2,7,232,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
José Pereira,81,45,57683.0,102,4,4,5,13,445,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
José Ribeiro,130,31,29398.0,68,5,2,2,9,522,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
José Santos,84,35,28502.0,89,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
João Almeida,66,33,46095.0,85,4,2,4,10,424,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
João Pereira,40,27,32472.0,76,3,1,2,6,312,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
João Ribeiro,108,30,24283.0,67,5,2,1,8,521,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
João Silva,1,69,52362.0,185,1,5,4,10,154,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Julia Almeida,34,27,23206.0,69,3,1,1,5,311,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Julia Araujo,27,31,25031.0,67,2,2,2,6,222,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Julia Cavalcanti,44,36,51108.0,94,3,3,4,10,334,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Julia Costa,15,36,35987.0,78,2,3,3,8,233,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Julia Fernandes,6,35,35620.0,101,1,2,3,6,123,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Julia Goncalves,39,23,33384.0,52,3,1,2,6,312,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Julia Pereira,32,34,27937.0,78,3,2,2,7,322,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Julia Pinto,63,42,37791.0,102,4,4,3,11,443,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Julia Rodrigues,54,34,25199.0,90,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Julian Azevedo,26,63,58444.0,156,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Julian Carvalho,9,60,49317.0,151,1,5,4,10,154,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Julian Castro,40,34,39122.0,79,3,2,3,8,323,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Julian Correia,123,27,22772.0,77,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Julian Cunha,12,41,34861.0,103,2,4,2,8,242,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Julian Gomes,11,74,69278.0,166,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Julian Rodrigues,6,27,19599.0,53,1,1,1,3,111,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Julian Sousa,16,97,84618.0,216,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Julieta Cardoso,192,24,28748.0,54,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Julieta Martins,23,34,33301.0,78,2,2,2,6,222,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Julieta Melo,47,36,35586.0,103,3,3,3,9,333,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Julieta Rodrigues,3,42,46820.0,104,1,4,4,9,144,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Julieta Santos,113,44,44239.0,118,5,4,4,13,544,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Júlia Araujo,155,23,27715.0,48,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Júlia Azevedo,27,41,42437.0,107,2,4,4,10,244,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Júlia Costa,10,32,30088.0,88,1,2,2,5,122,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Júlia Fernandes,52,61,55797.0,157,3,5,5,13,355,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Júlia Goncalves,23,58,73820.0,142,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Júlia Lima,53,22,24743.0,39,4,1,1,6,411,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Júlia Pinto,23,40,46008.0,113,2,4,4,10,244,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Júlia Ribeiro,52,37,48086.0,99,3,3,4,10,334,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Júlia Santos,85,35,31150.0,91,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Júlia Sousa,74,35,27858.0,82,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Júlio Alves,73,37,47452.0,104,4,3,4,11,434,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Júlio Carvalho,8,35,36298.0,98,1,2,3,6,123,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Júlio Cunha,24,71,72084.0,185,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Júlio Ferreira,44,43,33095.0,131,3,4,2,9,342,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Júlio Lima,292,27,18017.0,76,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Júlio Melo,46,63,75732.0,160,3,5,5,13,355,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Júlio Pereira,40,38,33025.0,95,3,3,2,8,332,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Júlio Pinto,68,28,30281.0,67,4,1,2,7,412,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Kai Alves,20,35,40784.0,77,2,2,3,7,223,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kai Castro,99,28,31559.0,79,4,1,2,7,412,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Kai Correia,24,97,120450.0,238,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kai Costa,168,23,21040.0,56,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Kai Ribeiro,21,38,28901.0,88,2,3,2,7,232,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kai Rodrigues,112,44,38012.0,132,5,4,3,12,543,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Kai Souza,48,53,56745.0,151,3,5,5,13,355,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Kaua Almeida,17,30,23144.0,79,2,2,1,5,221,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kaua Cardoso,1,45,49079.0,126,1,4,4,9,144,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kaua Castro,53,50,50646.0,134,4,5,4,13,454,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Kaua Costa,146,31,36568.0,83,5,2,3,10,523,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Kaua Dias,92,34,38621.0,84,4,2,3,9,423,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Kaua Fernandes,24,66,77278.0,171,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kaua Ferreira,63,32,40068.0,73,4,2,3,9,423,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Kaua Gomes,78,42,53675.0,120,4,4,4,12,444,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Kaua Goncalves,18,53,59524.0,135,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kaua Ribeiro,37,39,51244.0,94,3,3,4,10,334,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Kaua Rocha,31,89,82670.0,227,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kaua Rodrigues,1,55,52365.0,158,1,5,4,10,154,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kaua Santos,111,58,56172.0,146,5,5,5,15,555,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Kaua Sousa,187,28,28925.0,69,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Kauan Alves,63,51,48282.0,146,4,5,4,13,454,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Kauan Azevedo,2,54,42675.0,128,1,5,4,10,154,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kauan Barbosa,14,45,43650.0,130,2,4,4,10,244,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kauan Costa,53,36,52239.0,79,4,3,4,11,434,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Kauan Sousa,2,47,39557.0,130,1,5,3,9,153,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kauã Almeida,2,26,20806.0,65,1,1,1,3,111,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kauã Alves,64,36,32263.0,90,4,3,2,9,432,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Kauã Barros,103,53,54951.0,121,5,5,4,14,554,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Kauã Cardoso,10,88,89218.0,223,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kauã Carvalho,65,45,40001.0,107,4,4,3,11,443,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Kauã Castro,6,95,103836.0,229,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kauã Cunha,21,62,57311.0,146,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kauã Fernandes,2,115,118072.0,286,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kauã Ferreira,202,35,37453.0,104,5,2,3,10,523,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Kauã Lima,17,87,82450.0,217,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kauã Melo,40,29,32175.0,55,3,1,2,6,312,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Kauã Pereira,110,44,41191.0,110,5,4,3,12,543,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Kauã Pinto,155,16,11782.0,45,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Kauã Rodrigues,3,45,51142.0,105,1,4,4,9,144,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kauê Barbosa,1,34,31232.0,101,1,2,2,5,122,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kauê Carvalho,18,48,35394.0,124,2,5,3,10,253,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kauê Fernandes,9,46,38522.0,114,1,4,3,8,143,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kauê Oliveira,1,27,15772.0,72,1,1,1,3,111,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kauê Pereira,47,42,33081.0,113,3,4,2,9,342,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Kauê Ribeiro,164,35,31019.0,92,5,2,2,9,522,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Kauê Santos,32,40,34608.0,102,3,4,2,9,342,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Kauê Silva,27,32,24316.0,69,2,2,1,5,221,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Kauê Souza,84,28,28725.0,59,4,1,2,7,412,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Lara Alves,36,35,35380.0,74,3,2,3,8,323,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Lara Goncalves,13,34,26674.0,76,2,2,2,6,222,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Lara Melo,9,60,47607.0,166,1,5,4,10,154,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Lara Silva,24,35,39073.0,102,2,2,3,7,223,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Larissa Cavalcanti,12,41,42543.0,105,2,4,4,10,244,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Larissa Cunha,18,27,18410.0,57,2,1,1,4,211,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Larissa Melo,32,40,21901.0,91,3,4,1,8,341,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Larissa Pinto,45,37,32696.0,99,3,3,2,8,332,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Larissa Rodrigues,124,36,45518.0,97,5,3,4,12,534,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Laura Azevedo,178,30,22136.0,72,5,2,1,8,521,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Laura Castro,20,83,82189.0,218,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Laura Cavalcanti,1,143,151164.0,350,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Laura Costa,135,36,50463.0,79,5,3,4,12,534,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Lavinia Azevedo,200,23,23450.0,50,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Lavinia Cavalcanti,31,42,46815.0,99,2,4,4,10,244,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Lavinia Costa,99,34,38144.0,84,4,2,3,9,423,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Lavinia Gomes,73,55,48614.0,143,4,5,4,13,454,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Lavinia Melo,67,34,41265.0,93,4,2,3,9,423,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Lavinia Rodrigues,2,31,23332.0,72,1,2,1,4,121,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Leila Azevedo,8,24,20723.0,51,1,1,1,3,111,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Leila Barbosa,82,32,35576.0,72,4,2,3,9,423,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Leila Carvalho,36,46,45498.0,120,3,4,4,11,344,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Leila Castro,51,45,51606.0,109,3,4,4,11,344,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Leila Goncalves,6,69,52466.0,166,1,5,4,10,154,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Leila Melo,54,34,32103.0,79,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Leila Rocha,100,36,32872.0,81,5,3,2,10,532,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Leila Rodrigues,15,49,52001.0,126,2,5,4,11,254,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Leila Silva,8,29,23792.0,73,1,1,1,3,111,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Leonardo Almeida,2,48,44518.0,128,1,5,4,10,154,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Leonardo Barbosa,44,44,45892.0,113,3,4,4,11,344,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Leonardo Ferreira,12,21,18123.0,51,2,1,1,4,211,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Leonardo Gomes,46,26,22099.0,67,3,1,1,5,311,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Leonardo Goncalves,49,39,33909.0,90,3,3,2,8,332,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Leonardo Martins,12,43,39278.0,104,2,4,3,9,243,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Leonardo Oliveira,253,25,30897.0,50,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Leonardo Pinto,23,38,35229.0,83,2,3,3,8,233,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Leonardo Rodrigues,75,37,28527.0,86,4,3,2,9,432,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Leonardo Sousa,156,29,29834.0,68,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Leonardo Souza,114,28,27340.0,81,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Leonor Alves,13,36,32668.0,96,2,3,2,7,232,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Leonor Cunha,69,35,40170.0,85,4,2,3,9,423,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Leonor Santos,95,39,33390.0,106,4,3,2,9,432,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Letícia Barbosa,33,34,42523.0,82,3,2,4,9,324,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Letícia Correia,33,56,51164.0,130,3,5,4,12,354,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Letícia Souza,98,29,28157.0,68,4,1,2,7,412,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Livia Almeida,6,85,79969.0,220,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Livia Pereira,46,34,21345.0,76,3,2,1,6,321,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Livia Pinto,40,50,58233.0,137,3,5,5,13,355,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Livia Rocha,53,40,27217.0,114,4,4,2,10,442,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Livia Santos,154,34,31846.0,102,5,2,2,9,522,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Luan Araujo,8,34,34058.0,83,1,2,2,5,122,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Luan Costa,64,50,44014.0,128,4,5,4,13,454,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Luan Melo,55,34,30167.0,70,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Luan Oliveira,2,74,83846.0,160,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Luan Ribeiro,23,26,19121.0,62,2,1,1,4,211,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Luan Rocha,6,35,53463.0,87,1,2,4,7,124,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
